0,1
Date,Gold Price per Gram
Current Price,31588.4 LKR
28-Apr-2024,22246.3  LKR
27-Apr-2024,22271.2  LKR
26-Apr-2024,22257.5  LKR
25-Apr-2024,22239.4  LKR
24-Apr-2024,22216.3  LKR
23-Apr-2024,22363.1  LKR
22-Apr-2024,22486.4  LKR
21-Apr-2024,23076.8  LKR
20-Apr-2024,23143.4  LKR
19-Apr-2024,23172.6  LKR
18-Apr-2024,23007.5  LKR
17-Apr-2024,22905.2  LKR
16-Apr-2024,22980.3  LKR
15-Apr-2024,22889.4  LKR
14-Apr-2024,22535  LKR
13-Apr-2024,22411.3  LKR
12-Apr-2024,22438.6  LKR
11-Apr-2024,22753.4  LKR
10-Apr-2024,22413.2  LKR
09-Apr-2024,22546  LKR
08-Apr-2024,22398.2  LKR
07-Apr-2024,22182.8  LKR
06-Apr-2024,22333.5  LKR
05-Apr-2024,22312.2  LKR
04-Apr-2024,22023.6  LKR
03-Apr-2024,22119.3  LKR
02-Apr-2024,21941.1  LKR
01-Apr-2024,21706.3  LKR
31-Mar-2024,21550.5  LKR
30-Mar-2024,21520.8  LKR
29-Mar-2024,21548.7  LKR
28-Mar-2024,21550.6  LKR
27-Mar-2024,21200.2  LKR
26-Mar-2024,21127.1  LKR
25-Mar-2024,21076.1  LKR
24-Mar-2024,20996.8  LKR
23-Mar-2024,20996.8  LKR
22-Mar-2024,21080.1  LKR
21-Mar-2024,21286  LKR
20-Mar-2024,21308.6  LKR
19-Mar-2024,21169.9  LKR
18-Mar-2024,21181.8  LKR
17-Mar-2024,21132.7  LKR
16-Mar-2024,21132.7  LKR
15-Mar-2024,21285  LKR
14-Mar-2024,21224.2  LKR
13-Mar-2024,21351.3  LKR
12-Mar-2024,21257.7  LKR
11-Mar-2024,21495.6  LKR
10-Mar-2024,21466.4  LKR
09-Mar-2024,21466.4  LKR
08-Mar-2024,21482.7  LKR
07-Mar-2024,21305.6  LKR
06-Mar-2024,21223  LKR
05-Mar-2024,21069  LKR
04-Mar-2024,20933.6  LKR
03-Mar-2024,20562.7  LKR
02-Mar-2024,20621.9  LKR
01-Mar-2024,20744.7  LKR
29-Feb-2024,20342.6  LKR
28-Feb-2024,20246.6  LKR
27-Feb-2024,20228.7  LKR
26-Feb-2024,20266.6  LKR
